"id";"title";"brand";"collection";"composition";"color";"price_opt";"price_recommended";"photo_id"
"1";"Блуза ER3C4249L.0360(600)";"Evona";"Осень-Зима 2017";"100% полиэстер";"Мультиколор";"53";"10750";"1"
"2";"ЮБКА ER3Q4324S.0610(600)";"Evona";"Осень-Зима 2017";"100% полиэстер";"черный";"53";"8900";"2"
"3";"ПЛАТЬЕ ER3L4248L.0360(600)";"Nysense";"Осень-Зима 2017";"100% полиэстер";"мультиколор";"125";"25000";"0"
"4";"Блуза ER3C4249L.0360(600)";"Evona";"Осень-Зима 2017";"100% полиэстер";"Мультиколор";"53";"10750";"1"
"5";"ЮБКА ER3Q4324S.0610(600)";"Evona";"Осень-Зима 2017";"100% полиэстер";"черный";"53";"8900";"2"
"6";"ПЛАТЬЕ ER3L4248L.0360(600)";"Nysense";"Осень-Зима 2017";"100% полиэстер";"мультиколор";"125";"25000";"0"
"7";"Блуза ER3C4249L.0360(600)";"Evona";"Осень-Зима 2017";"100% полиэстер";"Мультиколор";"53";"10750";"1"
"8";"ЮБКА ER3Q4324S.0610(600)";"Evona";"Осень-Зима 2017";"100% полиэстер";"черный";"53";"8900";"2"
"9";"ПЛАТЬЕ ER3L4248L.0360(600)";"Nysense";"Осень-Зима 2017";"100% полиэстер";"мультиколор";"125";"25000";"0"
"10";"Блуза ER3C4249L.0360(600)";"Evona";"Осень-Зима 2017";"100% полиэстер";"Мультиколор";"53";"10750";"1"
"11";"ЮБКА ER3Q4324S.0610(600)";"Evona";"Осень-Зима 2017";"100% полиэстер";"черный";"53";"8900";"2"
"12";"ПЛАТЬЕ ER3L4248L.0360(600)";"Nysense";"Осень-Зима 2017";"100% полиэстер";"мультиколор";"125";"25000";"0"
"13";"Блуза ER3C4249L.0360(600)";"Evona";"Осень-Зима 2017";"100% полиэстер";"Мультиколор";"53";"10750";"1"
"14";"ЮБКА ER3Q4324S.0610(600)";"Evona";"Осень-Зима 2017";"100% полиэстер";"черный";"53";"8900";"2"
"15";"ПЛАТЬЕ ER3L4248L.0360(600)";"Nysense";"Осень-Зима 2017";"100% полиэстер";"мультиколор";"125";"25000";"0"
"16";"Блуза ER3C4249L.0360(600)";"Evona";"Осень-Зима 2017";"100% полиэстер";"Мультиколор";"53";"10750";"1"
"17";"ЮБКА ER3Q4324S.0610(600)";"Evona";"Осень-Зима 2017";"100% полиэстер";"черный";"53";"8900";"2"
"18";"ПЛАТЬЕ ER3L4248L.0360(600)";"Nysense";"Осень-Зима 2017";"100% полиэстер";"мультиколор";"125";"25000";"0"
"19";"Блуза ER3C4249L.0360(600)";"Evona";"Осень-Зима 2017";"100% полиэстер";"Мультиколор";"53";"10750";"1"
"20";"ЮБКА ER3Q4324S.0610(600)";"Evona";"Осень-Зима 2017";"100% полиэстер";"черный";"53";"8900";"2"
"21";"ПЛАТЬЕ ER3L4248L.0360(600)";"Nysense";"Осень-Зима 2017";"100% полиэстер";"мультиколор";"125";"25000";"0"
"22";"Блуза ER3C4249L.0360(600)";"Evona";"Осень-Зима 2017";"100% полиэстер";"Мультиколор";"53";"10750";"1"
"23";"ЮБКА ER3Q4324S.0610(600)";"Evona";"Осень-Зима 2017";"100% полиэстер";"черный";"53";"8900";"2"
"24";"ПЛАТЬЕ ER3L4248L.0360(600)";"Nysense";"Осень-Зима 2017";"100% полиэстер";"мультиколор";"125";"25000";"0"
"id";"photo_id";"photo"
"1";"0";"http://evona.test30.ru/upload/iblock/b1f/b1f68ad1486a8f50fb2c14313daaae27.jpg"
"2";"0";"http://evona.test30.ru/upload/iblock/f5a/f5af4a24deb6d88c60b42bf2e276aec0.jpg"
"3";"0";"http://evona.test30.ru/upload/iblock/bcd/bcd86b5892c54181a19d301274e09267.jpg"
"4";"1";"http://evona.test30.ru/upload/resize_cache/iblock/39a/360_660_2/39a79a0bb7dd2c116492fd69b86fdac0.jpg"
"5";"1";"http://www.evona-nysense.ru/upload/iblock/a78/a780517dc101b20140e0daa6f84528cb.jpg"
"6";"1";"http://www.evona-nysense.ru/upload/iblock/099/0991f29e9e684d01fdce745910c936d7.jpg"
"7";"1";"http://www.evona-nysense.ru/upload/iblock/db1/db18e445a91e55ad7ffba868e8670694.jpg"
"8";"2";"http://evona.test30.ru/upload/iblock/714/714b3a3c534d5458b11cd2d245a5693f.jpg"
"9";"2";"http://evona.test30.ru/upload/iblock/ee2/ee2073d1f8aa2a6f3755f3762391847c.jpg"
